iter	Logloss
0	0.356624875
1	0.3488835413
2	0.3469653179
3	0.3461856224
4	0.3455331144
5	0.3453238749
6	0.3452295754
7	0.3448510406
8	0.3448064626
9	0.3447555993
10	0.3442814137
11	0.3437999655
12	0.3433292209
13	0.3431965426
14	0.3430127406
15	0.3427161358
16	0.3426687796
17	0.3426501343
18	0.3425884315
19	0.3422768033
20	0.3422059192
21	0.3420021032
22	0.3419764469
23	0.3419054967
24	0.3418470831
25	0.341584583
26	0.3415302804
27	0.341517986
28	0.3415025846
29	0.3413823187
30	0.3413667695
31	0.3413504078
32	0.3413147761
33	0.341292709
34	0.3411436752
35	0.3411289361
36	0.3411198875
37	0.3411112045
38	0.3410842924
39	0.3410638765
40	0.3410390106
41	0.3409719903
42	0.3408950045
43	0.3408193004
44	0.3408028559
45	0.3407892969
46	0.3406718973
47	0.3406683022
48	0.3406439139
49	0.3406078956
50	0.3405891531
51	0.3405564395
52	0.3404907484
53	0.3404791355
54	0.3404637367
55	0.340452461
56	0.340209331
57	0.3401950072
58	0.3400488886
59	0.340034626
60	0.3400165403
61	0.3399664183
62	0.3399565249
63	0.3398832472
64	0.3398762467
65	0.339800784
66	0.3397857507
67	0.3397639639
68	0.3397512986
69	0.3397409513
70	0.3396979982
71	0.3396891005
72	0.3396657713
73	0.3396541201
74	0.3396189818
75	0.3395412723
76	0.339531511
77	0.3395228354
78	0.339506594
79	0.3394958016
80	0.3394836368
81	0.3394682217
82	0.3394585574
83	0.3394482449
84	0.3394361296
85	0.339421295
86	0.339390186
87	0.3393799295
88	0.3393712837
89	0.3393634503
90	0.3393562201
91	0.3393214413
92	0.3393098385
93	0.3392979416
94	0.33925811
95	0.339247135
96	0.3392375524
97	0.3392224138
98	0.3391910121
99	0.3391526555
