iter	Passed	Remaining
0	1031	102072
1	1887	92489
2	2650	85709
3	3465	83181
4	4179	79414
5	4970	77867
6	5701	75751
7	6365	73208
8	7083	71619
9	7716	69450
10	8396	67931
11	9074	66544
12	9731	65125
13	10731	65921
14	12549	71116
15	14175	74419
16	16115	78679
17	17777	80988
18	19773	84297
19	21641	86567
20	23381	87957
21	25293	89676
22	26672	89295
23	28274	89535
24	29969	89907
25	31677	90157
26	33315	90074
27	35038	90097
28	36958	90485
29	38865	90685
30	40567	90296
31	41926	89094
32	43471	88259
33	45120	87586
34	46841	86990
35	48601	86402
36	50265	85586
37	52053	84929
38	53801	84150
39	55661	83492
40	56940	81938
41	58750	81131
42	60642	80386
43	62597	79669
44	64628	78989
45	66467	78026
46	68894	77689
47	70948	76861
48	73273	76264
49	75572	75572
50	77699	74652
51	80074	73914
52	82762	73393
53	84899	72322
54	86745	70973
55	89033	69954
56	91140	68755
57	93205	67493
58	95761	66546
59	97871	65247
60	100788	64438
61	102748	62974
62	104857	61582
63	107214	60308
64	109158	58777
65	111223	57296
66	113366	55837
67	115918	54549
68	117612	52840
69	119812	51348
70	121896	49788
71	123989	48218
72	126347	46731
73	128625	45192
74	130891	43630
75	132660	41892
76	134765	40254
77	137053	38656
78	139850	37175
79	142731	35682
80	145080	34031
81	147353	32345
82	149213	30561
83	151635	28882
84	154154	27203
85	156797	25525
86	159645	23855
87	162462	22153
88	165190	20416
89	167699	18633
90	170638	16876
91	173256	15065
92	176547	13288
93	179130	11433
94	182080	9583
95	184960	7706
96	187840	5809
97	191916	3916
98	195527	1975
99	199277	0
